北京汉丽轩自助烤肉火锅超市(香港城店),0391-3127177,解放区解放中路香港城四楼
姥家锅台宴,0391-8310888/8310999,山阳区山阳路轮胎厂东门对面365时尚驿站向东200米路北
蜀大侠火锅,0391-2629888,解放区人民路与民主南路交叉口西北角（光大银行旁）
仟品自助餐厅,18003915836/18539106868,解放区和平西街与新华街交叉口向西50米路南
亲情树家常菜,0391-3939518,山阳区解放路艺新剧院东侧（焦东路与解放中路交叉口60米路南）
泊景湾饭店,0391-5977888,沁阳市沁园路与河内路交汇处
洛阳牛肚王,18236873845,解放区政二街四季花城南50米
聚品源北京烤鸭,0391-5198070/13653914456,沁阳市怀府西路汽车站往东150路北(可)
德克士(创智天地店),0391-8299666,孟州市韩愈大街创智天地步行街北口（近好乐迪KTV）
陈姐黄焖鸡米饭,0391-8306647,山阳区山阳路与博爱路交叉口向西50米（西邻吕寨牛肚王）
麦香园蛋糕房,13103990210/13273916210,孟州市韩愈大街与农坛南路交叉口北30米路西（吉祥三宝北隔一家门店）
德克士(景文店),0391-8311884,解放区民主路与和平街交叉口东100米景文百货1楼（景文百货购物中心一楼西北角）
大张老北京果木烤鸭,13203917950,山阳区韩公路万鑫商城1416号（北门第二排第二家）
于小鱼炒鸡,15538949005,山阳区东方红街道焦东路十二中对面
鱼道烤全鱼,15538927933,博爱县清化镇南关村?城路与玉祥路交叉口北行100米
甘茶度(丹尼斯店),15503919172/16639110195,山阳区塔南路丹尼斯五楼
药膳炒鸡(清风路店),13938136334,孟州市西清风大街中段293号（精英幼儿园东150米路北）
安仔包,13523369763/15039156913,武陟县和平北路实验学校南邻
华莱士炸鸡汉堡(修武餐厅),0391-7185556,修武县修武老城街5083号
潮汕全牛火锅,0391-3915777,解放区映湖路客运总站北门西500米路南（锦详花园南门东50米路南）
五谷渔粉(慈胜大街店),13723182919,温县慈胜大街二院北50米县加油站南临路东
阿利茄汁面(东方红广场店),18639102122,山阳区解放中路与焦东路交叉口西200米路南（人民人民医院斜对面）
吾家厨意,0391-5609555,沁阳市沁园北路汽车站往北150米路东
汤烫骨汤麻辣烫,0391-8199686,孟州市会昌南路281号[丽都商务宾馆南100米]
小龙坎老火锅(沁阳店),0391-3830888,沁阳市太行大道普罗旺世西门南50米路东（阳光假日大门正对面）
爱尚甜品屋,0391-3371118/13723178891,解放区工业路三家村酒厂东邻
百联盛瓦香鸡米饭(三维店),13653916641,解放区解放中路贸易大厦东北角外1号
五谷渔粉(中天店),0391-5664999,沁阳市怀府西路焦百生活广场东胡同第一家
星期吧汉堡饮品(师专店),15939103330,山阳区山阳路焦作师专学子餐厅北门向东20米（师专电影院）
山东婆婆大虾,0391-8680006,博爱县玉祥路与?城路交叉口北100米
百味记小郡肝砂罐串串火锅,0391-2622555/18539152607,解放区和平西街4号（缪斯酒吧斜对面）
山谷原麦蛋糕房,18839113590,山阳区博爱路中段龙源湖学校对面（龙源湖小区大门东侧）
米知味,13569148498/13333918533,武陟县朝阳一街与黄河大道交叉口向西70米
康乃馨面包房(一号店),0391-7278788,武陟县朝阳二路与和平路交叉口向北100米路西
川香小厨,0391-3399855,山阳区塔南路喜哈哈自助餐北临（大商超市斜对面）
杨铭宇黄焖鸡米饭(古楼店),13203935789,沁阳市覃怀中路古楼十字口东10米路北
宏光批发超市,0391-3933520,山阳区解放路与东二环交叉口西南角
佳客来牛排专家,0391-6399886,武陟县沁河路国贸中心1楼
清真爱客士快餐,0391-5908978,沁阳市怀府西路汽车站对面
桂林米粉(步行街店),15139157591,沁阳市沁园街道覃怀中路玫瑰城南450米
赵记烩面堂(南通路店),0391-2620888,解放区南通路建设路交叉口南50米路西（19中家属院西门对面）
南山塔屋,15539199461/18637169370,解放区大杨树酒吧街同一首歌北侧
嘉年华蛋糕房,13523916565,温县古温大街北段44号（金太极红绿灯北150米路西）（金太极北100米路西）
好地方家常菜(解放路店),0391-3931899,山阳区解放东路市人行对面（近建设路）
李想大虾火锅花园(沁阳店),0391-3870168,沁阳市太行大道七彩柱向南100米路东普罗旺世
小马车秘制花甲(龙泉湖店),15893003253,武陟县朝阳二路龙泉湖商业街街口
金栗王,15839119998,解放区解放中路贸易大厦北门20米路东
王味螺柳州螺蛳粉,13203985895,山阳区龙源湖学校斜对面（师专西门向西500米路南0
首选庭院鲜牛肉火锅,0391-2633555,解放区人民路与民主南路交叉口东南角
9068香辣虾,17639181599,山阳区摩登街与新丰一街交叉口西北角
清宴?逍遥镇胡辣汤?豆沫馆,15503912348,解放区解放中路南北苑拾号商住楼
巴爷欢乐香辣鸡堡虾煲,13603449797,山阳区新里理工大南门
老味道肉夹馍,15938130670,山阳区人民路塔南路交叉口丹尼斯百货5楼
秘制嘿鸭鸭,15239143666,解放区解放中路贸易大厦南门品质生活南侧
上汤一品面,18539158599,解放区焦北街道太行路24号（幸福街小学对面）
随便吃大骨头,13839166318/15039139893,山阳区工业路与焦东路交口西20米路南，轮胎厂菜市场南口1号（轮胎厂十字口）
经纬渔港,0391-8366566/8366588,山阳区人民东路景苑小区旁（区法院东100米路南常庄）
宁夏胡羊排,0391-3958881,解放区和平街与新华中街交叉口往西50米路南（原小蓝鲸）
粒粒香小碗菜,15803910503,山阳区玉溪路万鑫商城西北角（万鑫商城西门向北30米）
徐府一品大虾(中站店),0391-2950076,中站区景文百货超市西邻路南
呷哺呷哺(丹尼斯店),400-817-7878,山阳区塔南路558号丹尼斯百货4D701号
九群狼黄焖鸡米饭(焦作第九分店),15036514721,中站区怡光路与解放路交叉口西南角
火焰烤肉拌饭(师专总店),15139131847,山阳区山阳路师专西门对面（博爱路东头路北）
爱拉屋西饼(中山路店),0391-8688881,博爱县中山路五马公司对面南100米路西（海尔正对面往南5米路西）
N多寿司(丹尼斯店),13838909263,山阳区人民路丹尼斯5楼
吧式烤全鱼,0391-6112227/18530190916,温县人民大街与黄河路交叉口往北200米路西
暴记奶酪小吃城,15839149484,解放区团结东街团结街小学向南50米路西（三维生活广场）
胡闯渔粉(温县店),0391-3820055,温县黄河路与慈胜大街交叉口北100米路西（巴奴北邻）
领鲜者潮汕牛肉火锅(万达店),0391-3889418,解放区丰收路万达广场4楼
麦香烘焙,0391-8316866,解放区建设路与民主路交叉口铜马向西50米路北（好妈妈正对面）
1983抹茶炒酸奶(十七中第二分店),15239185767/18697766645,山阳区解放中路十七中西100米路南
七若滋烘焙(万达店),0391-3577707,解放区民主路与丰收路交叉口万达广场1楼1号门南侧
欧曼尼(香港街店),0391-3724333,沁阳市香港街清华园西门处
瑞福烘焙,0391-8791768/13707684851,解放区陶瓷路99号（西城美苑东门南20米）
品味金麦,0391-2929299,解放区解放中路与新华街交叉口向南30米路西
阿牛手工面,13462406833,孟州市西清风大街怡苑小区家属院斜对面
昆仑乐居商务酒店餐厅,0391-3286699,山阳区解放中路与塔南路交叉口往东50米路南昆仑乐居商务酒店内
武汉热干面(山阳区总店),18790234923/13839177651,山阳区新理工大韩愈路与玉溪路交叉口东70米路南（河南理工大学西门向西200米路南，万鑫商城南门）
川味麻辣烫,15138095651,沁阳市覃怀中路与自由街交叉口西行50米
西蜀汉子重庆小面,18203617135,解放区健康路与北环路交叉口绿都叠翠园南门
福临香辣虾&船老大烤鱼,0391-5600388,沁阳市怀府东路玫瑰城A区三楼
老酒碗,0391-5191188,沁阳市香港街清华园南200米路东
来一腿炭火烤羊腿,13017518766,山阳区新丰二街北200米路东（新山阳区法院北200米路东）
郭记烩面,13782786656/13782782555,修武县岸上服务区东六街1号
凡记酸辣粉,18603916441,山阳区工业路老焦作大学北门西行100米路南
胡桃里音乐酒馆,0391-3699520,山阳区壹里洋场5号楼一个影城东边
新麦香园蛋糕房,18239123003,沁阳市香港街清华园大门口向北60米路东
榴莲密码,17737377596/15039150718,山阳区丹尼斯5楼
恰好鱼见你?藤椒鱼米饭(和平街店),0391-3882882,山阳区和平街和平小区北门西邻15米底商
金华旗私房酵香(丹尼斯店),0391-2633335,山阳区人民路1704号
舒记麻辣鱼(新华街店),15670851777/15517780514,解放区新华街与和平街交叉口南行50米路西
王婆大虾(西平),0391-7271388/15838950698,武陟县黄河大道与朝阳一路交叉口向北20米路西
翰丰酒店(新东店),0391-3531999/3531996,山阳区太行中路59号（新东公司院内）
蓉李记成都名小吃(焦作万达店),0391-3699168,解放区丰收路万达广场4楼4079号
老梁家潼关肉夹馍,18539199971,孟州市河阳市场北口西河阳大街玉都酒店向南30米
牛牛麻辣香锅,13839188693,沁阳市玫瑰城三楼西北角
秦记老洛阳三味牛肚王,13462448465,山阳区解放路与山阳路交叉口往南100米路东（老日报社北临）
金桂园艺术烘焙(农坛路店),0391-8185799,孟州市农坛路与西韩愈大道交叉口东北角（建设银行对面）
彭记鸭血粉丝汤,18639107637,山阳区人民路壹里洋场中国银行后面
好地方酒家(山阳路店),0391-3891688/13949651741,山阳区东环路与建设路交叉口北100米路西（近东环路小学，建行）
90时尚餐饮黄焖鸡米饭,15138067362,修武县八一北街华公馆南门北侧
杨记果木烤鸭,19939100831/15639195360,山阳区解放东路解东二小东10米
杨小贤甜点(学生路旗舰店),0391-2687778,解放区学生路与民主路交叉口东50米路北
烧包的串串,0391-8335195,山阳区城乡一体化示范区玉溪路
红沙龙蛋糕(一店),0391-3872226/13939154335,沁阳市南门街与县后街交叉口向南30米路西
大富豪中餐酒楼,0391-6109777/6128777,温县太行路西段1227号（红磨坊西邻）
川遇鸡公虾婆(武陟总店),0391-7557588,武陟县朝阳二街与木栾大道交叉口水木清华北门向东100米
麦卡琪蛋糕(朝阳一街店),0391-8367089/18939138043,武陟县朝阳一路育杰双语学校斜对面
于小鱼炒鸡,0391-5689060,沁阳市沁园路与谭怀西路交叉口往东200米左右路北（原小鱼炒鸡）
好清香砂锅,18639178678,武陟县朝阳二路水木清华小区东排门面房
好利来(政二街店),0391-2666777,解放区政二街北段路东四季花城小区门口
赵记烩面堂宴宾食府(太行路店),0391-3926123,山阳区太行路交警支队对面（交警队对面）
饭?,13774153507,解放区解放中路艺术中学家属院旁
陕师傅(万达店),15893079216,解放区民主南路万达四楼
金麦源蛋糕房,15039130458,解放区映湖路与锦祥商业街北行50米路东
渔人节烤全鱼(合欢路店),18639158044,孟州市合欢路阳光新城南邻（倩影婚纱摄影）
小韩食韩式料理,15993736937,山阳区焦东路丽景新天地二号楼南一层7号
至尊披萨(汇丰店),0391-8198060,孟州市汇丰步行街北口向南150米（重生街舞俱乐部正对面）
爱尚汉堡,13782788102,博爱县S308道与大练线交叉口向北300米路西（博爱体育馆往北）
芭贝乐(玫瑰城店),13849590454,沁阳市玫瑰城A区3楼3011号（香辣虾斜对面）
欧曼尼(自由门店),0391-3874666,沁阳市步行街与自由门交叉口北行20米
麦加美汉堡炸鸡,0391-3899889,解放区民主中路与建设中路交叉口南80米
金华旗私房酵香(电建店),0391-2769809,解放区普济路与建设中路交叉口西北角（金华旗烩面烧烤店旁）
胖阿姨奶茶汉堡,13403999520,解放区建设街和平街交叉口
麦卡琪蛋糕(朝阳二路店),18939193037,武陟县朝阳二路和平学校对面
渔人节烤全鱼主题餐厅(温县店),0391-6118199,温县东梁所红绿灯往南50米路西（原计量局对面）
许记大骨头,13838936664,解放区丰收路锦祥商业街北头2号商铺
超越创客,0391-8191919,孟州市汇丰步行街北口二楼
伊府中餐酒楼(古温街店),0391-3827888/13346797868,温县古温大街中段金太极往北100米路北
喜家婆老汤灌汤水饺自助,15639782021,温县温县黄河路黄河西路1367号
康乃馨面包房(五号店),0391-7291113,武陟县红旗路081号（电业局斜对面）
五谷渔粉(龙源湖总店),17739514233,山阳区龙源湖丰收路与塔南路转盘东50米路北（简美美家国际家居博览中心院内）
湘菜源湖南大碗菜,0391-2971717,解放区太行路公交公司东200米路北（红磨坊对面）
叫了个鸡(大杨树店),13782767953,解放区大杨树街与新华街交叉口
铭宿寿司屋,15346195336,沁阳市焦百中心岗楼西南角第三家（佬?食品西邻）
川派脸谱火锅,0391-6116111,温县黄河路东段三合泉东邻
魔锅坊麻辣香锅(和平路店),13523379885,武陟县和平路与朝阳一路交叉口向南300米路西（武陟县育才学校斜对面）
杨国福麻辣烫(修武店),0391-7191518/13782887651,修武县七贤大道金中步行街南楼九牧王东20米路北
年糕世家,15503912676,沁阳市怀府西路焦百生活广场对面（西安米皮旁）
雪冰元素,17339113798,沁阳市玫瑰城苏宁易购南邻
秦记小吃店,15518508226,解放区和平街与新华街交叉口向北120米路东
三维戴斯酒店帝苑中餐厅,0391-2288353/2288441,解放区民主中路555号三维戴斯酒店2楼帝苑中餐厅
米拉的烘焙时光(韩愈大街店),0391-8100066,孟州市新后街与西韩愈大街交叉口东50米
