状元烤场(大学路总店),0371-86062929/400-003-1321,二七区大学路与中原路交叉口向南100米路东永辉超市2楼
悦丽怡景西餐厅(健康路店),0371-63613666,金水区健康路与优胜南路交叉口（近优胜南路）
许三酱牛肉(民安路店),13598891435,二七区民安路与淮北街交叉口东北角
德克士(建业百货餐厅),0371-86570999,荥阳市索河西路与万山北路交叉口东100米路北建业百货1层
王子爱上虾(普庆路店),13838093664,金水区国基路与普庆路交叉口向南100米路东
佰人王火锅(建设路店),18937632250,中原区建设路与嵩山路交叉口向西20米路北
醉巴鲜烤鱼(熙地港店),0371-55209996,金水区农业东路与众意西路交叉口熙地港购物中心4楼
阿生哥柳州螺蛳粉(东风路轻院店),18530955055,金水区东风路与信息学院路交叉口西200米路北
醉巴鲜烤鱼(建文店),0371-55955077,金水区黄河路与文化路交叉口向东100米路北中孚大厦二楼（韩风源自助餐隔壁）
重庆锅巴饮年代火锅(升龙店),0371-68866682,二七区人和路与政通路交叉口向北200米路西
菜香圃酒家(经三路农业路店),0371-65753555/65727755-33333,金水区农业路37号（农业路与经三路交叉口东南角）
秀莱客牛排自助西餐厅(乐尚店),0371-60985661,管城回族区经开第五大街与经南三路交叉口（乐尚生活广场3楼）
麦克思汉堡(帝湖店),0371-86057805,中原区航海西路与桐柏南路交叉口帝湖华润万家超市一楼（原德克士）
豫缘王婆大虾总店(祭城总店),0371-56796963,金水区郑州东区相济路与心怡路交叉口东20米路南（近心怡路）
麦多和馅饼(曼哈顿广场店),18736087202,金水区金水路与未来路交叉口曼哈顿步行街口
面筋哥烤串(万达店),18538174977,中原区华山路万达金街2号门向南50米花甲客店旁
王嘉卫黄焖鸡米饭,18003719061,中原区秦岭路建设路西元美食后街（华润万家北20米）
合盛源南阳生炝烩面(丰庆路店),0371-60970995/13603719223,金水区宏达路与丰庆路交叉口往北150米路东
蜜?の蜜制鲜饮(中原万达店),13838189374,中原区华山路与中原路交叉口向南150米路东（万达商业街外街）
老狼大盘鸡(北大学城店),0371-55676085/13007517808,惠济区北大学城文化路与英才街交叉口向东550米路南（英才街与桂圆街向东40米路南）
郑州建业艾美酒店曙日本餐厅,0371-55998888,金水区郑汴路与中州大道交叉口西北角建业艾美酒店6楼
凤煲围炉(橄榄城店),0371-86237899,二七区连云路与南三环交叉口东南角橄榄城都市广场C103商铺（煲式火锅）
大脸哥鸡排(北三环店),15516954598,金水区文化路与北三环交叉口东北角（阿利茄汁面隔壁）
麦加美汉堡(中原万达店),13838126500,中原区中原万达广场金街3号门向西30米路南
银鼎轩麻辣香锅(丹尼斯1天地店),0371-86079555,金水区商务外环路1号丹尼斯百货1天地3层
钛牛烤肉(建文店),0371-63703111/13017679298,金水区黄河路96号建文新世界商厦北门西侧（建文商厦北门西侧）
延庆观炸鸡(升龙又一城店),18695858258,高新区玉兰街与春藤路交叉口向西100米路北（升龙又一城底商附03）
傻子张大盘鸡(郑大南门店),18937182237,高新区腊梅路与科学大道交叉口南100米路西（郑大南门附近）
哇啦哇啦回转自助火锅,0371-86563289,中原区建设路与秦岭路交叉口西元国际广场4楼B403
锅大侠市集火锅(中原万达店),0371-55981386/18637937142,中原区中原路华山路交叉口中原万达百货三楼3067B号（大玩家旁边）
佳客来牛排专家(港区沃金店),0371-61703216,中牟县雍州路与巡航路交叉口西南角沃金商业2楼
花千代秘制烤鱼(丹尼斯百货花园路店),0371-65759930,金水区郑花路1号丹尼斯百货13层
千代家自助日料,0371-86181666,金水区商务内环西二街伟业财智广场一楼
蓉李记成都名小吃(二七万达店),0371-55132658,二七区大学路8号万达广场三楼3037B铺
本味鲜炒鸡(农大店),0371-53395943,金水区丰产路与文化路交叉口西行20米路北（近农业大学）
稻香海鲜点心酒家(郑州华润万象城分店),0371-55526588,二七区五彩路华润万象城7楼701铺（华联商厦对面）
家家红特色火锅(陇海路店),0371-55511096,二七区陇海路与交通路交叉口向北200米
诚记煲仔饭(CBD总店),0371-55058032,金水区商务内环西六街三人行信阳菜馆旁边（丹尼斯二天地旁）
香可利(中原万达店),0371-86612968/55317877,中原区中原路秦岭路中原万达金街1号门星巴克咖啡旁
花千代烤鱼(王府井百货锦艺城店),0371-86565861,中原区棉纺西路4号王府井百货B1层
龙太极火锅(高新区店),0371-66235588,高新区石楠路金梭路交叉口（原合欢街德庄火锅店）
重庆小面(千盛广场店),0371-63210522,金水区天明路与生产路交叉口向西50米路北千盛生活广场附近步行街入口向北50米路西
锦鲤坊(升龙国际店),0371-55659100/55357197,二七区政通路与人和路交叉口西北升龙国际1087号（奥斯卡影城1楼）
上海老街生煎,18937195430,新郑市人民路西亚斯西门门口
小肥羊火锅餐厅(红专路店),0371-63976222,金水区文化路与红专路交叉口向西300米路南（近郑州大学工学院）
梁程记阿三生煎馆(橄榄城都市广场店),13676997588,二七区南三环橄榄城都市广场（香雪儿东50米）
王婆大虾(富田太阳城店),19939996887,管城回族区中州大道航海路交叉口富田太阳城东方美食街向北150米路西（东方美食街永和豆浆向北莱喜健身向左转50米路南）
拉亚美式经典餐厅(大卫城店),0371-55681680,金水区二七路与太康路丹尼斯大卫城负一楼
百年味道(玉凤路店),0371-55668875,金水区郑汴路与玉凤路交叉口北200米路东
麦加美(上街铝城餐厅),0371-68113680,上街区济源路与友谊街东100米，人民医院斜对面
顺熙尚食庆丰包子铺(铭功路店),0371-66998881,二七区铭功路与解放路交叉口（天主教堂门口）
悦丽怡景西餐厅(西元国际店),0371-86507277,中原区建设路西元国际广场4楼（近秦岭路）
锅大侠火锅(大同路店),0371-63286608/18339950981,二七区德化步行街88号四楼（德化街与大同路交叉口西北角）
诚记煲仔饭(天明路千盛店),0371-55673630,金水区生产路大商千盛生活广场步行街南口东侧（大商千盛广场）
小猪小牛章鱼水煎肉(二七万达店),0371-55052079,二七区大学南路二七万达广场3楼
百顺国际酒店(郑密路店),0371-68666666/68555555,二七区淮河路与郑密路交叉口东南角
好丸美(华联商厦店),18838235661,二七区民主路3号华联商厦2层
分米鸡DM ChicKen(大商国贸店),0371-55911413,金水区花园路农业路大商新玛特7楼
蓉李记成都名小吃(中原万达店),0371-63463818,中原区中原路与秦岭路交叉口万达广场三楼3012号
许三酱牛肉(沙口路店),13598891435,金水区沙口路王府坟菜市场门口
重庆锅巴饮年代火锅(国基路店),0371-55617363,金水区国基路与普庆路交汇处向东50米路南
上水?王婆大虾(二七广场总店),15516917591,二七区西大街二七塔向东50米路南（亚细亚旁森马3楼美食广场内）
欧叶蛋糕(北环路店),0371-86541691/63317350,金水区北环路与文化路交叉口向东500米路南（省电视台）
王婆大虾(北大学城总店),0371-56669996/56669998,惠济区文化路与英才街东300米丹尼斯全日鲜对面三楼（中州大学南门东100米路北三楼喜米网咖隔壁）
傅记老字号雪花酪(铝城公园东门店),13083605688,上街区登封路85号（铝城公园对面）
老狼大盘鸡(伊河路店),15038113218,中原区工人路与伊河路交叉口向西200米路北（中国邮政储蓄北隔壁）
千世岛咖啡西餐厅(橄榄城店),0371-55520077,二七区南三环连云路交叉口向南50米路东二楼
德克士(金好来餐厅店),0371-63235189/60261997,巩义市新华路女子百货一楼（金好来美食汇楼下）
小同桌回转自助火锅,18595761688/15093197654,二七区兴盛路二七广场百年德化尚潮汇餐饮区F108、109
快乐星汉堡,0371-68110009,上街区济源路和金屏路交叉处东南角和昌都汇广场1楼
德克士(农业路千盛广场店),0371-55010066,金水区农业路与天明路交叉口向南100米路西
王婆大虾(凤凰城总店),0371-56716869/13838589921,金水区未来路和陇海路交叉口向北80米路东升龙凤凰城C区3号楼对面（招商银行向东50米）
禾珍珠小锅米饭(马庄街店),0371-69505031,金水区东风东路马庄街3号（近北大附中河南分校外国语小学）
赵记北京烤鸭店(汝河路店),15538203879,二七区汝河路与兴华街交叉口向东30米路南（淮北农贸商场正对面）
韩客拌饭(万达店),0371-66339997,二七区二七万达金街3号门向西20米路南（5号楼104）
王老三(北大学城店),0371-85962239/18503719901,惠济区文化路与英才街交叉口向东300米路南1号
食欲老院子(经五路店),0371-55197111,金水区经五路与农业路交口向南100米路西（农业路南侧）
川人百味(中原万达店),0371-86100968,中原区中原路与秦岭路交叉口万达广场三楼
小背篓菌汤火锅(外环路店),0371-63736777,金水区商务外环路与众意西路交口向东50米（近中油花园）
邢记肉合(丹尼斯店),13849064460,巩义市建设路丹尼斯南中国移动易通专营店隔壁
呷哺呷哺(郑州尚潮汇店),0371-60303357,"二七区德化步行街100号百年德化项目的F1,B1层"
0058香辣虾(人民路店),0371-62687666,新郑市人民路环保局对面
卡吉诺(航海路店),0371-60835611,管城回族区航海东路与朝凤路交叉口东北角（开发区供水管理中心对面）
重庆锅巴饮年代火锅(九如东路店),0371-68097599,金水区天赋路与九如东路口交叉口东北角
豪客来牛排(天旺广场店-1005),0371-60998289,金水区东风路38号（近天明路）
韩风源自助烤肉(美景万科店),0371-63370030,惠济区文化路与英才街交叉口西南角美景万科广场五层
《0058》香辣虾(经三路店),0371-61772858,金水区经三路与鑫苑路交叉口向北50米路东（皇宫大酒店对面）
梁程记阿三生煎(建文店),18595716637,金水区黄河路96号建文汇美尚城一楼A008、A009号
川遇鸡公虾婆(硅谷店),0371-55620997,金水区东风路文化路向南200米路西硅谷广场5楼
恋虾火锅,0371-65331211,管城回族区郑东新区农业南路与永平路交叉口北4号楼一层商铺附3号
满芳庭羊肉汤(第八大街店),0371-65338862/17335583110,管城回族区第八大街与经南四路68号2号楼1层（经开第八大街与经南四路东300米路北）
华莱士(龙湖店),18638821772/18614972862,新郑市龙湖镇文昌路农村商业银行对面龙湖广场南侧
醉鱼轩烤鱼(王府井郑州总店),0371-53315751,中原区棉纺西路与桐柏路交叉口西北角王府井百货4层
豪轩汇中西餐厅(荥阳总店),0371-85099555,荥阳市京城路与京城大街交叉口东北角（京城大街西口）
严厨老坛酸菜鱼(陇海路店),0371-85511911,二七区陇海路庆丰街鑫苑鑫都汇三楼东侧
御味居黄焖鸡米饭(成皋路店),15290855626,荥阳市索河路与成皋路交叉口向南50米路西
百岁鱼(东明路店),0371-65993231/63870005/63920005/63823601,金水区东明路与黄河路向北100米路西
好丸美(丹尼斯4天地店),18838239532/18639551009,金水区商务西三街中段丹尼斯百货4天地3层
琪美嘉蛋糕(广武路店),0371-65000103,荥阳市广武路与索河路交叉口东南角（碧园小区北）
?谷渔粉(升龙广场店),13440001958,二七区政通路与人和路交叉口升龙国际广场A区美食二街中段
军力烧烤(丰庆路店),0371-60999938,金水区农业路与丰庆路交叉口向北500米路东
小资吃货金钱麻辣爆肚(锦艺城店),15036093489,中原区棉纺路与桐柏路交叉口锦艺国际华都1期（中国银行斜对面）
梁程记阿三生煎(二七万达店),18037519217,二七区大学路与航海路交叉口二七万达广场三楼
卡吉诺面包房(东风路店),0371-63759392,金水区东风路郑州轻工业学院对面
深泉焖罐(锦艺城购物B区店),0371-85511889,中原区棉纺西路23号锦艺城购物中心B区3层
豪客来牛排(二七万达店),0371-63286518,二七区大学路与航海东路交叉口一层124号（万达金街）
吃货聚集地,13223075756/13937171235,金水区文化路俭学街交叉口西100米路北（九中北门斜对面）
王婆大虾(行云路店),18703852525,二七区长江路行云路交叉口向南200米路东
玛格利塔(东风路店),0371-55158208,金水区东风路与丰乐路交叉口西50米路南
花甲客(二七万达店),0371-86566882,二七区二七万达金街三号门向北30米路东（麦茶德斜对面）
鱼不二厨道,0371-63280620/15538227853,二七区德化街74号楼四楼
重庆朝天门火锅(晶华城店),0371-63956666,中原区冉屯路洲海路交叉口东北角
爆哥金汤爆肚(金城国贸店),18638632393,管城回族区紫荆山路与法院东街向西200米路北永兴小区
